time, channel conflicts, channel load, available transitions,,,,,,,,
0,0,2,1,,3,30,4,,0,1.566666667,3.25
1,1,1,1,,,,,,0.333333333,1.533333333,3.25
2,1,1,2,,,,,,0.333333333,1.533333333,3.5
3,1,0,2,,,,,,0.333333333,1.5,3.5
4,0,5,1,,,,,,0,1.666666667,3.25
5,0,0,0,,,,,,0,1.5,3
6,0,0,0,,,,,,0,1.5,3
7,0,0,0,,,,,,0,1.5,3
8,0,0,0,,,,,,0,1.5,3
9,1,0,2,,,,,,0.333333333,1.5,3.5
10,0,2,2,,,,,,0,1.566666667,3.5
11,2,3,3,,,,,,0.666666667,1.6,3.75
12,3,0,2,,,,,,1,1.5,3.5
13,1,5,2,,,,,,0.333333333,1.666666667,3.5
14,1,0,1,,,,,,0.333333333,1.5,3.25
15,0,0,0,,,,,,0,1.5,3
16,0,0,0,,,,,,0,1.5,3
17,0,0,0,,,,,,0,1.5,3
18,1,0,2,,,,,,0.333333333,1.5,3.5
19,0,1,2,,,,,,0,1.533333333,3.5
20,1,1,2,,,,,,0.333333333,1.533333333,3.5
21,1,1,3,,,,,,0.333333333,1.533333333,3.75
22,1,5,1,,,,,,0.333333333,1.666666667,3.25
23,0,0,0,,,,,,0,1.5,3
24,0,0,0,,,,,,0,1.5,3
25,0,0,0,,,,,,0,1.5,3
26,0,0,0,,,,,,0,1.5,3
27,1,0,2,,,,,,0.333333333,1.5,3.5
28,0,1,1,,,,,,0,1.533333333,3.25
29,1,1,1,,,,,,0.333333333,1.533333333,3.25
30,1,0,1,,,,,,0.333333333,1.5,3.25
31,0,5,1,,,,,,0,1.666666667,3.25
32,0,0,0,,,,,,0,1.5,3
33,0,0,0,,,,,,0,1.5,3
34,0,0,0,,,,,,0,1.5,3
35,0,0,0,,,,,,0,1.5,3
36,1,0,2,,,,,,0.333333333,1.5,3.5
37,0,1,1,,,,,,0,1.533333333,3.25
38,1,2,1,,,,,,0.333333333,1.566666667,3.25
39,2,2,3,,,,,,0.666666667,1.566666667,3.75
40,2,30,3,,,,,,0.666666667,2.5,3.75
41,1,0,2,,,,,,0.333333333,1.5,3.5
42,1,5,2,,,,,,0.333333333,1.666666667,3.5
43,0,0,0,,,,,,0,1.5,3
44,0,0,0,,,,,,0,1.5,3
45,0,0,0,,,,,,0,1.5,3
46,0,0,0,,,,,,0,1.5,3
47,2,0,2,,,,,,0.666666667,1.5,3.5
48,1,0,2,,,,,,0.333333333,1.5,3.5
49,0,0,0,,,,,,0,1.5,3
50,0,0,0,,,,,,0,1.5,3
51,0,0,0,,,,,,0,1.5,3
52,0,0,0,,,,,,0,1.5,3
53,1,0,2,,,,,,0.333333333,1.5,3.5
54,0,0,0,,,,,,0,1.5,3
55,0,0,0,,,,,,0,1.5,3
56,0,0,0,,,,,,0,1.5,3
57,0,0,0,,,,,,0,1.5,3
58,1,0,2,,,,,,0.333333333,1.5,3.5
59,0,0,0,,,,,,0,1.5,3
60,0,0,0,,,,,,0,1.5,3
61,0,0,0,,,,,,0,1.5,3
62,0,0,0,,,,,,0,1.5,3
63,1,0,2,,,,,,0.333333333,1.5,3.5
64,0,0,0,,,,,,0,1.5,3
65,0,0,0,,,,,,0,1.5,3
66,0,0,0,,,,,,0,1.5,3
67,0,0,0,,,,,,0,1.5,3
68,1,0,2,,,,,,0.333333333,1.5,3.5
69,0,0,0,,,,,,0,1.5,3
70,1,20,4,,,,,,0.333333333,2.166666667,4
71,0,0,0,,,,,,0,1.5,3
72,0,0,0,,,,,,0,1.5,3
73,2,0,4,,,,,,0.666666667,1.5,4
74,0,0,0,,,,,,0,1.5,3
75,0,0,0,,,,,,0,1.5,3
76,0,0,0,,,,,,0,1.5,3
77,0,0,0,,,,,,0,1.5,3
78,2,0,4,,,,,,0.666666667,1.5,4
79,0,0,0,,,,,,0,1.5,3
80,2,0,2,,,,,,0.666666667,1.5,3.5
81,0,0,1,,,,,,0,1.5,3.25
82,0,0,0,,,,,,0,1.5,3
83,0,1,2,,,,,,0,1.533333333,3.5
84,1,1,1,,,,,,0.333333333,1.533333333,3.25
85,1,0,1,,,,,,0.333333333,1.5,3.25
86,0,1,1,,,,,,0,1.533333333,3.25
87,1,0,2,,,,,,0.333333333,1.5,3.5
88,0,1,1,,,,,,0,1.533333333,3.25
89,1,1,1,,,,,,0.333333333,1.533333333,3.25
90,1,0,1,,,,,,0.333333333,1.5,3.25
91,0,5,1,,,,,,0,1.666666667,3.25
92,0,0,0,,,,,,0,1.5,3
93,0,0,0,,,,,,0,1.5,3
94,0,0,0,,,,,,0,1.5,3
95,0,0,0,,,,,,0,1.5,3
96,1,0,2,,,,,,0.333333333,1.5,3.5
97,0,0,0,,,,,,0,1.5,3
98,0,0,0,,,,,,0,1.5,3
99,0,0,0,,,,,,0,1.5,3
100,0,0,0,,,,,,0,1.5,3
101,0,0,0,,,,,,0,1.5,3
102,0,0,0,,,,,,0,1.5,3
103,0,0,0,,,,,,0,1.5,3
104,0,0,0,,,,,,0,1.5,3
105,0,0,0,,,,,,0,1.5,3
106,0,0,0,,,,,,0,1.5,3
107,0,0,0,,,,,,0,1.5,3
108,0,0,0,,,,,,0,1.5,3
109,0,0,0,,,,,,0,1.5,3
110,0,0,0,,,,,,0,1.5,3
111,0,0,0,,,,,,0,1.5,3
112,0,0,0,,,,,,0,1.5,3
113,0,0,0,,,,,,0,1.5,3
114,0,0,0,,,,,,0,1.5,3
115,0,0,0,,,,,,0,1.5,3
116,0,0,0,,,,,,0,1.5,3
117,0,0,0,,,,,,0,1.5,3
118,0,0,0,,,,,,0,1.5,3
119,0,0,0,,,,,,0,1.5,3
120,0,0,0,,,,,,0,1.5,3
121,0,0,0,,,,,,0,1.5,3
122,0,0,0,,,,,,0,1.5,3
123,0,0,0,,,,,,0,1.5,3
124,0,0,0,,,,,,0,1.5,3
125,0,0,0,,,,,,0,1.5,3
126,0,0,0,,,,,,0,1.5,3
127,0,0,0,,,,,,0,1.5,3
128,0,0,0,,,,,,0,1.5,3
129,0,0,0,,,,,,0,1.5,3
130,0,0,0,,,,,,0,1.5,3
131,0,0,0,,,,,,0,1.5,3
132,0,0,0,,,,,,0,1.5,3
133,0,0,0,,,,,,0,1.5,3
134,0,0,0,,,,,,0,1.5,3
135,0,0,0,,,,,,0,1.5,3
136,0,0,0,,,,,,0,1.5,3
137,0,0,0,,,,,,,1.5,3
138,0,0,0,,,,,,,1.5,3
139,0,0,0,,,,,,,1.5,3
140,0,0,0,,,,,,,1.5,3
141,0,0,0,,,,,,,1.5,3
142,0,0,0,,,,,,,1.5,3
143,0,0,0,,,,,,,1.5,3
144,0,0,0,,,,,,,1.5,3
145,0,0,0,,,,,,,1.5,3
146,0,0,0,,,,,,,1.5,3
147,0,0,0,,,,,,,1.5,3
148,0,0,0,,,,,,,1.5,3
149,0,0,0,,,,,,,1.5,3
150,0,0,0,,,,,,,1.5,3
151,0,0,0,,,,,,,1.5,3
152,0,0,0,,,,,,,1.5,3
153,0,0,0,,,,,,,1.5,3
154,0,0,0,,,,,,,1.5,3
155,0,0,0,,,,,,,1.5,3
156,0,0,0,,,,,,,1.5,3
157,0,0,0,,,,,,,1.5,3
158,0,0,0,,,,,,,1.5,3
159,0,0,0,,,,,,,1.5,3
160,0,0,0,,,,,,,1.5,3
161,0,0,0,,,,,,,1.5,3
162,0,0,0,,,,,,,1.5,3
163,0,0,0,,,,,,,1.5,3
164,0,0,0,,,,,,,1.5,3
165,0,0,0,,,,,,,1.5,3
166,0,0,0,,,,,,,1.5,3
167,0,0,0,,,,,,,1.5,3
168,0,0,0,,,,,,,1.5,3
169,0,0,0,,,,,,,1.5,3
170,0,0,0,,,,,,,1.5,3
171,0,0,0,,,,,,,1.5,3
172,0,0,0,,,,,,,,
173,0,0,0,,,,,,,,
174,0,0,0,,,,,,,,
175,0,0,0,,,,,,,,
176,0,0,0,,,,,,,,
177,0,0,0,,,,,,,,
178,0,0,0,,,,,,,,
179,0,0,0,,,,,,,,
180,0,0,0,,,,,,,,
181,0,0,0,,,,,,,,
182,0,0,0,,,,,,,,
183,0,0,0,,,,,,,,
184,0,0,0,,,,,,,,
185,0,0,0,,,,,,,,
186,0,0,0,,,,,,,,
187,0,0,0,,,,,,,,
188,0,0,0,,,,,,,,
189,0,0,0,,,,,,,,
190,0,0,0,,,,,,,,
191,0,0,0,,,,,,,,
192,0,0,0,,,,,,,,
193,0,0,0,,,,,,,,
194,0,0,0,,,,,,,,
195,0,0,0,,,,,,,,
196,0,0,0,,,,,,,,
197,0,0,0,,,,,,,,
198,0,0,0,,,,,,,,
199,0,0,0,,,,,,,,
