time, channel conflicts, channel load, available transitions,,,,,,,,
0,0,2,1,,3,60,5,,0,1.533333333,3.2
1,1,1,1,,,,,,0.333333333,1.516666667,3.2
2,1,1,2,,,,,,0.333333333,1.516666667,3.4
3,1,0,2,,,,,,0.333333333,1.5,3.4
4,0,5,1,,,,,,0,1.583333333,3.2
5,0,0,0,,,,,,0,1.5,3
6,0,0,0,,,,,,0,1.5,3
7,0,0,0,,,,,,0,1.5,3
8,0,0,0,,,,,,0,1.5,3
9,1,0,2,,,,,,0.333333333,1.5,3.4
10,0,2,2,,,,,,0,1.533333333,3.4
11,2,3,3,,,,,,0.666666667,1.55,3.6
12,3,0,2,,,,,,1,1.5,3.4
13,1,5,2,,,,,,0.333333333,1.583333333,3.4
14,1,5,1,,,,,,0.333333333,1.583333333,3.2
15,0,0,0,,,,,,0,1.5,3
16,0,0,0,,,,,,0,1.5,3
17,0,0,0,,,,,,0,1.5,3
18,0,0,0,,,,,,0,1.5,3
19,1,0,2,,,,,,0.333333333,1.5,3.4
20,0,1,2,,,,,,0,1.516666667,3.4
21,1,1,1,,,,,,0.333333333,1.516666667,3.2
22,1,1,2,,,,,,0.333333333,1.516666667,3.4
23,1,5,1,,,,,,0.333333333,1.583333333,3.2
24,0,0,0,,,,,,0,1.5,3
25,0,0,0,,,,,,0,1.5,3
26,0,0,0,,,,,,0,1.5,3
27,0,0,0,,,,,,0,1.5,3
28,1,0,2,,,,,,0.333333333,1.5,3.4
29,0,6,2,,,,,,0,1.6,3.4
30,2,6,2,,,,,,0.666666667,1.6,3.4
31,2,5,2,,,,,,0.666666667,1.583333333,3.4
32,1,10,2,,,,,,0.333333333,1.666666667,3.4
33,0,0,0,,,,,,0,1.5,3
34,0,0,0,,,,,,0,1.5,3
35,0,0,0,,,,,,0,1.5,3
36,0,0,0,,,,,,0,1.5,3
37,2,0,2,,,,,,0.666666667,1.5,3.4
38,0,2,2,,,,,,0,1.533333333,3.4
39,2,3,2,,,,,,0.666666667,1.55,3.4
40,3,2,5,,,,,,1,1.533333333,4
41,2,51,5,,,,,,0.666666667,2.35,4
42,2,51,4,,,,,,0.666666667,2.35,3.8
43,2,51,3,,,,,,0.666666667,2.35,3.6
44,2,50,3,,,,,,0.666666667,2.333333333,3.6
45,1,55,3,,,,,,0.333333333,2.416666667,3.6
46,2,60,3,,,,,,0.666666667,2.5,3.6
47,0,0,0,,,,,,0,1.5,3
48,0,0,0,,,,,,0,1.5,3
49,0,0,0,,,,,,0,1.5,3
50,0,0,0,,,,,,0,1.5,3
51,3,55,3,,,,,,1,2.416666667,3.6
52,2,55,3,,,,,,0.666666667,2.416666667,3.6
53,0,0,0,,,,,,0,1.5,3
54,0,0,0,,,,,,0,1.5,3
55,0,0,0,,,,,,0,1.5,3
56,0,0,0,,,,,,0,1.5,3
57,2,50,4,,,,,,0.666666667,2.333333333,3.8
58,1,50,2,,,,,,0.333333333,2.333333333,3.4
59,1,51,3,,,,,,0.333333333,2.35,3.6
60,2,51,4,,,,,,0.666666667,2.35,3.8
61,2,50,4,,,,,,0.666666667,2.333333333,3.8
62,1,55,3,,,,,,0.333333333,2.416666667,3.6
63,0,0,0,,,,,,0,1.5,3
64,0,0,0,,,,,,0,1.5,3
65,0,0,0,,,,,,0,1.5,3
66,0,0,0,,,,,,0,1.5,3
67,2,55,3,,,,,,0.666666667,2.416666667,3.6
68,0,0,0,,,,,,0,1.5,3
69,0,0,0,,,,,,0,1.5,3
70,0,0,0,,,,,,0,1.5,3
71,0,0,0,,,,,,0,1.5,3
72,2,50,4,,,,,,0.666666667,2.333333333,3.8
73,1,51,5,,,,,,0.333333333,2.35,4
74,2,51,4,,,,,,0.666666667,2.35,3.8
75,2,51,3,,,,,,0.666666667,2.35,3.6
76,2,51,4,,,,,,0.666666667,2.35,3.8
77,2,55,3,,,,,,0.666666667,2.416666667,3.6
78,3,55,3,,,,,,1,2.416666667,3.6
79,0,0,0,,,,,,0,1.5,3
80,0,0,0,,,,,,0,1.5,3
81,0,0,0,,,,,,0,1.5,3
82,0,0,0,,,,,,0,1.5,3
83,2,55,3,,,,,,0.666666667,2.416666667,3.6
84,0,0,0,,,,,,0,1.5,3
85,0,0,0,,,,,,0,1.5,3
86,0,0,0,,,,,,0,1.5,3
87,0,0,0,,,,,,0,1.5,3
88,2,50,3,,,,,,0.666666667,2.333333333,3.6
89,1,51,3,,,,,,0.333333333,2.35,3.6
90,2,51,3,,,,,,0.666666667,2.35,3.6
91,2,50,2,,,,,,0.666666667,2.333333333,3.4
92,1,55,2,,,,,,0.333333333,2.416666667,3.4
93,0,0,0,,,,,,0,1.5,3
94,0,0,0,,,,,,0,1.5,3
95,0,0,0,,,,,,0,1.5,3
96,0,0,0,,,,,,0,1.5,3
